00, ,<,01
01,1,<,01
01,0,<,01
01, ,<,02
02,1,<,02
02,0,<,02
02, ,>,03
03,1, ,05
03,0, ,14
03, ,>,04
04,1, ,24
04,0, ,33
04, ,>,43
05,1,>,05
05,0,>,05
05, ,>,06
06,1,>,06
06,0,>,06
06, ,>,07
07,1,>,07
07,0,>,07
07, ,>,08
08, ,>,09
09, ,1,10
09,1,>,09
09,0,>,09
10,1,<,10
10,0,<,10
10, ,<,11
11, ,<,12
12,1,<,12
12,0,<,12
12, ,<,13
13,1,<,13
13,0,<,13
13, ,1,23
14,1,>,14
14,0,>,14
14, ,>,15
15,1,>,15
15,0,>,15
15, ,>,16
16,1,>,16
16,0,>,16
16, ,>,17
17, ,>,18
18, ,0,19
18,1,>,18
18,0,>,18
19,1,<,19
19,0,<,19
19, ,<,20
20, ,<,21
21,1,<,21
21,0,<,21
21, ,<,22
22,1,<,22
22,0,<,22
22, ,0,23
23,1,>,03
23,0,>,03
24,1,>,24
24,0,>,24
24, ,>,25
25,1,>,25
25,0,>,25
25, ,>,26
26, ,>,27
27,1,>,27
27,0,>,27
27, ,>,28
28, ,1,29
28,1,>,28
28,0,>,28
29,1,<,29
29,0,<,29
29, ,<,30
30,1,<,30
30,0,<,30
30, ,<,31
31, ,<,32
32,1,<,32
32,0,<,32
32, ,1,42
33,1,>,33
33,0,>,33
33, ,>,34
34,1,>,34
34,0,>,34
34, ,>,35
35, ,>,36
36,1,>,36
36,0,>,36
36, ,>,37
37, ,0,38
37,1,>,37
37,0,>,37
38,1,<,38
38,0,<,38
38, ,<,39
39,1,<,39
39,0,<,39
39, ,<,40
40, ,<,41
41,1,<,41
41,0,<,41
41, ,0,42
42,1,>,04
42,0,>,04
43,1,>,43
43,0,>,43
43, ,>,44
44,1,>,44
44,0,>,44
44, ,>,45
45,1,>,45
45,0,>,45
45, ,<,46
46,1,<,46
46,0,<,46
46, ,>,53
47,1,>,47
47,0,>,47
47, ,<,49
48, ,>,47
49,1, ,50
49,0, ,50
49, ,=,54
50, ,<,51
51,1,<,51
51,0,<,51
51, ,1,52
52,1,<,54
53,0, ,48
53,1, ,48
53, ,<,70
54, ,<,54
54,1,=,55
54,0,=,55
55,1, ,56
55,0, ,57
56, ,<,58
57, ,<,59
58,1,<,58
58,0,<,58
58, ,>,60
59,1,<,59
59,0,<,59
59, ,>,61
60,1,1,62
60,0,1,63
61,1,0,62
61,0,0,63
62,1,>,64
63,1,>,65
62,0,>,64
63,0,>,65
64,0,1,66
64,1,1,67
64, ,1,68
65,0,0,66
65,1,0,67
65, ,0,68
66,0,>,65
66,1,>,65
67,0,>,64
67,1,>,64
68,0,>,69
68,1,>,69
69, ,>,53
69,1,=,53
69,0,=,53
70,1,>,70
70,0,>,70
70, ,#,70
